"//","Open/save this file as a standard CSV  <=>  comma (,) separated and double quotes ("") as text delimiter.",,,,,,
"//","You can safely insert commas or double quotes into data fields.",,,,,,
"//","EXCEPTION: Don't insert a comma right after a double quote, since this terminates the field.",,,,,,
"//","When editing with OO.org Calc, use the single quote (') for three-number-dates to circumvent automatic conversion.",,,,,,
"//",,,,,,,
"//!","gnuclad parses this correctly no matter in what order the nodes are. You can swap any lines.",,,,,,
"//!",,,,,,,
"//!","Empty lines get ignored, the first column controls the rest of the line:",,,,,,
"//!","# = comment, N = node, C = connector, D = domain",,,,,,
"//!","SVG = SVG image to include, PNG = PNG image to include",,,,,,
"//!",,,,,,,
,,,,,,,
"#","Nodes",,,,,,
"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]"
"#","Leaving 'To When' empty will result in using 'From When' as this value",,,,,,
"#","From When","From","To When","To","Thickness","Color",
"C","1983.3.1","PC DOS 2.0","","MS-DOS 2.0","2","#000",
"C","1983.10.1","PC DOS 2.1","","MS-DOS 2.1","2","#000",
"C","1984.8.1","PC DOS 3.0","1984.7.1","MS-DOS 3.0","2","#000",
"C","1985.3.1","PC DOS 3.1","1984.11.1","MS-DOS 3.1","2","#000",
"C","1986.4.1","PC DOS 3.2","1986.1.1","MS-DOS 3.2","2","#000",
"C","1991.6.1","PC DOS 5.0","","MS-DOS 5.0","2","#000",
"C","1993.6.1","PC DOS 6.1","1993.3.1","MS-DOS 6.0","2","#000",
"C","2005.10.1","DR-DOS 8.1 (Withdrawn)","","DR-DOS 8.1","2","#000",
"C","1978.1.1","CP/M 80","1980.4.1","QDOS","2","#000",
,,,,,,,
"#","Domains",,,,,,
"#","Node","Color","Intensity",,,,
,,,,,,,
"#","Images",,,,,,
"#","File Path","x Position","y Position",,,,
"PNG","images/DigitalResearch.png","440","0",,,,
"PNG","images/Microsoft.png","360","580",,,,
"PNG","images/IBM.png","410","1050",,,,
"PNG","images/Novell.png","1730","300",,,,
